Nom;Nom latin;Type;Taille;Envergure;Poids;Couleurs principales;Bec;Couleur bec;Periode d'abscence;Pattes;Couleur pattes;Régime alimentaire
Sarcelle d'été;Spatula querquedula;Canard;37-41;60-63;0.3-0.45;Marron/Noir/Blanc;Aplati;Noir;01/02/11/12;3 Palmé;Brun;Omnivore
Canard Colvert;Anas platyrhynchos;Canard;50-65;81-98;0.8-1.4;Vert/Brun/Bleu;Aplati;Jaune;;3 Palmé;Orange;Omnivore
Canard Mandarin;Aix galericulata;Canard;41-49;68-74;0.4-0.7;Blanc/Brun/Roux;Aplati;Rouge/Blanc;;3 Palmé;Brun;Omnivore
Cygne Tuberculé;Cygnus olor;Canard;125-155;200-235;9.0-13;Blanc;Pointu tubercule;Rouge;04/05/06/07/08/09/10;3 Palmé;Noir;Omnivore
Macreuse Noire;Melanitta nigra;Canard;44-54;79-90;1.3-1.5;Noir;Aplati tubercule;Noir/Jaune;05/06/07/08/09;3 Palmé;Noir;Crustacivore
Harle Huppé;Mergus serrator;Canard;52-58;70-86;1.0-1.2;Noir/Roux/Blanc;Fin crochu;Rouge;05/06/07/08/09;3 Palmé;Orange;Crustacivore
Avocette élégante;Recurvirostra avosetta;Echassier;42-45;77-80;0.2-0.4;Blanc/Noir;Fin retroussé;Noir;;Sans doigt arrière;Bleu;Crustacivore/Insectivore
Glaréole à collier;Glareola pratincola;Echassier;24-27;60-65;0.07-0.09;Brun;Large avec culmen prononcé;Noir/Rouge;01/02/03/11/12;Anisodactyle avec ergot;Brun;Insectivore
Bécasseau rousset;Calidris subruficollis;Echassier;18-20;43-47;0.045-0.12;Brun/Beige;Fin;Brun;01/02/03/11/12;Anisodactyle avec ergot;Jaune;Insectivore/Herbivore
Barge rousse;Limosa lapponica;Echassier;37-41;70-80;0.25-0.6;Roux/Marron;Fin retroussé;Brun;06-juil;Anisodactyle avec ergot;Brun/Noir;Crustacivore/Insectivore
Chevalier gambette;Tringa totanus;Echassier;27-29;59-66;0.11-0.155;Brun/Blanc;Fin;Rouge/Noir;;Anisodactyle avec ergot;Rouge;Crustacivore/Insectivore
Heron cendré;Ardea cinerea;Echassier;90-98;160-175;0.6-1.2;Gris/Noir;Long en épée;Jaune;;Anisodactyle longue griffe arrière;Gris/Jaune;Piscivore/Carnivore
Mouette Pygmée;Hydrocoloeus minutus;Mouette;25-27;75-80;0.09-0.15;Blanc/Gris;Fin;Rouge/Noir;05/06/07/08/09;Anisodactyle avec ergot;Rouge;Piscivore/Insectivore
Goéland Brun;Larus fuscus;Mouette;52-67;135-155;0.65-1;Blanc/Noir;Large avec culmen prononcé;Jaune/Rouge;;Anisodactyle avec ergot;Jaune;Omnivore
Sterne caspienne;Hydroprogne caspia;Mouette;52-56;127-140;0.55-0.75;Gris/Blanc;Epais;Rouge;01/02/03/10/11/12;Anisodactyle avec ergot;Noir;Piscivore/Insectivore
Puffin fuligineux;Ardenna grisea;Mouette;40-51;95-110;0.65-1;Noir;Fin crochu;Noir;01/02/03/04/05/06/12;3 Palmé;Gris;Piscivore
Macareux moine;Fratercula artica;Mouette;26-29;47-63;0.32-0.55;Noir/Blanc;Gros conique;Gris/Rouge/Jaune;;4 Palmé;Rouge;Piscivore/Insectivore
Vautour moine;Aegypius monachus;Rapace;100-110;250-285;7-12.5;Noir;Crochu;Gris;;Anisodactyle avec serre;Gris;Charognard
Epervier d'Europe;Accipiter nisus;Rapace;28-38;60-80;185-350;Orange/Brun;Crochu;Jaune/Noir;;Anisodactyle avec serre;Jaune;Carnivore
Balbuzard pëcheur;Pandion haliaetus;Rapace;55-63;145-170;1.2-2;Blanc/Brun;Crochu;Noir;01/02/11/12;Anisodactyle avec serre;Gris;Piscivore
Faucon pelerin;Falco peregrinus;Rapace;36-48;85-120;0.75-1.3;Gris/Blanc;Crochu;Jaune/Noir;;Anisodactyle avec serre;Jaune;Carnivore
Faucon crécerellette;Falco naumanni;Rapace;29-32;60-70;0.13-0.27;Brun/Marron/Gris;Crochu;Jaune/Gris;01/02/11/12;Anisodactyle avec serre;Jaune;Carnivore/Insectivore
Chevêche d'Athéna;Athene noctua;Rapace;21-23;50-56;0.15-0.2;Gris/Beige/Blanc;Crochu;Jaune;;Anisodactyle avec serre;Gris;Carnivore
Grand-duc d'Europe;Bubo bubo;Rapace;60-75;160-188;1.7-4.2;Brun/Beige;Crochu;Noir;;Anisodactyle avec serre;Brun;Carnivore
Tétras-lyre;Lyrurus tetrix;Gallinacé;40-55;65-80;1.1-1.5;Noir/Bleu/Blanc;Conique;Noir;;Anisodactyle;Brun;Granivore/Insectivore
Faisan de Colchide;Phasianus colchicus;Gallinacé;66-89;70-90;0.9-1;Roux/Brun/Noir;Conique;Blanc;;Anisodactyle;Gris;Granivore/Insectivore
Outarde canepetière;Tetrax tetrax;Gallinacé;40-45;105-115;0.75-1;Brun/Blanc/Gris;Conique;Brun;;Anisodactyle;Brun;Insectivore
Talève sultane;Porphyrio porphyrio;Gallinacé;45-50;90-100;0.725-0.87;Bleu/Noir/Violet;Conique;Rouge;;Anisodactyle longue;Rouge;Omnivore
Tourterelle turque;Streptopelia decaocto;Pigeon;31-33;47-55;0.125-0.225;Beige/Brun;Fin;Noir;;Anisodactyle;Rouge;Granivore
Pigeon biset;Columba livia;Pigeon;31-34;63-70;0.24-0.3;Gris/Noir/Vert;Fin;Noir;;Anisodactyle;Rouge;Granivore
Rollier d'Europe;Coracias garrulus;Passereau à bec large;30-32;63-73;0.11-0.155;Bleu/Orange/Noir;Large;Brun;01/02/03/10/11/12;Anisodactyle;Brun;Insectivore
Geai des chênes;Garrulus glandarius;Passereau à bec large;34-36;55;0.14-0.19;Bleu/Brun/Noir;Large;Noir;;Anisodactyle;Brun;Granivore/Insectivore
Grand Corbeau;Corvus corax;Passereau à bec large;52-69;115-160;0.7-1.6;Noir;Large;Noir;;Anisodactyle;Noir;Insectivore/Carnivore/Charognard
Perruche à collier;Psittacula krameri;Passereau à bec large;38-42;42-48;0.095-0.14;Vert;Crochu;Rouge;;Syndactyle;Gris;Granivore
Inséparable de Fischer;Agapornis fischeri;Passereau à bec large;13-17;13-17;0.04-0.06;Vert/Jaune/Orange;Crochu;Rouge;;Syndactyle;Gris;Granivore
Pie-grièche Méridionale;Lanius collurio;Passereau à bec large;24-25;30-34;0.055-0.095;Gris/Noir/Blanc;Large fort;Noir;;Anisodactyle;Noir;Insectivore/Carnivore
Pic-vert;Picus viridis;Passereau à bec long;31-33;40-42;0.18-0.22;Blanc/Vert/Rouge;Long;Noir;;Zygodactyle;Brun;Granivore/Insectivore
Grimpereau des jardins;Certhia brachydactyla;Passereau à bec long; 12-13;18-21;0.008-0.012;Brun/Gris;Long fin arqué;Noir;;Anisodactyle;Brun;Insectivore
Huppe fasciée;Upupa epops;Passereau à bec long;26-28;42-46;0.055-0.08;Brun/Noir;Long fin;Noir;01/02/11/12;Anisodactyle;Brun;Insectivore
Guêpier d'Europe;Merops apiaster;Passereau à bec long;27-28;44-49;0.045-0.08;Bleu/Roux;Long pointu courbé;Noir;01/02/03/10/11/12;Anisodactyle;Noir;Insectivore
Martin-pêcheur d'Europe;Alcedo atthis;Passereau à bec long;16-17;24-26;0.03-0.045;Bleu/Marron;Long;Noir;;Anisodactyle;Rouge;Piscivore/Insectivore
Engoulement d'Europe;Caprimulgus europaeus;Passereau à bec fin;26-28;54-60;0.065-0.1;Brun/Gris;Fin;Noir;01/02/03/11/12;Anisodactyle;Gris;Insectivore
Bergeronette printanière;Motacilla flava;Passereau à bec fin;16-17;23-28;0.016-0.017;Jaune/Noir;Fin;Noir;01/02/03/11/12;Anisodactyle;Noir;Insectivore
Locustelle luscinoïde;Locustella luscinoïdes;Passereau à bec fin;14-15;15-21;0.014-0.018;Brun/Roux;Fin;Noir;01/02/03/10/11/12;Anisodactyle;Brun;Insectivore
Pouillot véloce;Phylloscopus collybita;Passereau à bec fin;11;18;0.006;Gris/Vert;Fin;Noir;;Anisodactyle;Gris/Brun;Insectivore
Rouge-queue à front blanc;Phoenicurus phoenicurus;Passereau à bec fin;14;20-24;0.012-0.02;Rouge/Gris/Blanc;Fin;Noir;01/02/11/12;Anisodactyle;Marron;Insectivore
Etourneau unicolore;Sturnus unicolor;Passereau à bec fin;21;37-42;0.085-0.095;Noir;Fin;Jaune;;Anisodactyle;Rouge;Insectivore/Granivore
Mésange chardonière;Parus major;Passereau à bec fin;14;23-26;0.016-0.021;Jaune/Vert/Noir;Fin;Noir;;Anisodactyle;Noir;Insectivore/Granivore
Moineau domestique;Passer domesticus;Passereau à bec conique;14-15;20-25;0.03-0.04;Roux/Noir/Marron;Conique;Jaune;;Anisodactyle;Brun;Granivore
Tarin des aulnes;Carduelis spinus;Passereau à bec conique;12;20-23;0.01-0.014;Jaune/Vert;Conique long pointu;Gris;;Anisodactyle;Brun;Granivore
Niverolle Alpine;Montifringilla nivalis;Passereau à bec conique;16-19;34-38;0.03-0.05;Gris/Marron/Noir;Conique;Noir;;Anisodactyle;Noir;Granivore/Insectivore
